10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,2
140,0
150,0
160,0
170,0
180,1
190,1
200,1
210,1
220,1
230,1
240,3
250,2
260,2
270,3
280,3
290,3
300,2
310,2
320,3
330,4
340,2
350,2
360,2
370,2
380,3
390,3
400,8
410,3
420,5
430,3
440,5
450,4
460,3
470,4
480,4
490,4
500,5
510,5
520,4
530,6
540,9
550,8
560,8
570,7
580,9
590,8
600,6
610,9
620,8
630,8
640,9
650,8
660,6
670,7
680,7
690,8
700,7
710,8
720,7
730,8
740,8
750,8
760,11
770,8
780,8
790,13
800,15
810,13
820,14
830,16
840,16
850,19
860,17
870,12
880,18
890,15
900,13
910,13
920,13
930,14
940,14
950,14
960,16
970,15
980,12
990,16
1000,15
1010,15
1020,17
1030,18
1040,13
1050,30
1060,16
1070,14
1080,14
1090,15
1100,15
1110,15
1120,16
1130,15
1140,16
1150,17
1160,16
1170,16
1180,17
1190,16
1200,17
1210,17
1220,17
1230,18
1240,17
1250,18
1260,17
1270,17
1280,17
1290,18
1300,19
1310,19
1320,20
1330,20
1340,20
1350,21
1360,20
1370,20
1380,21
1390,21
1400,21
1410,22
1420,22
1430,23
1440,22
1450,22
1460,22
1470,24
1480,26
1490,26
1500,29
1510,32
1520,32
1530,30
1540,26
1550,35
1560,38
1570,31
1580,33
1590,37
1600,48
1610,43
1620,50
1630,50
1640,53
1650,54
1660,51
1670,53
1680,54
1690,54
1700,55
1710,54
1720,54
1730,55
1740,54
1750,56
1760,56
1770,53
1780,56
1790,55
1800,57
1810,53
1820,56
1830,58
1840,57
1850,58
1860,56
1870,61
1880,60
1890,62
1900,61
1910,62
1920,62
1930,63
1940,63
1950,63
1960,60
1970,64
1980,64
1990,65
